site,species,n_years,french_name
10840,DRYMAR,5,Pic noir
10840,EMBCIT,5,Bruant jaune
10840,ERIRUB,5,Rougegorge familier
10840,FRICOE,5,Pinson des arbres
10840,GARGLA,5,Geai des chênes
10840,HIRRUS,5,Hirondelle rustique
10840,PARCAE,5,Mésange bleue
10840,PARCRI,5,Mésange huppée
10840,PARMAJ,5,Mésange charbonnière
10840,PASDOM,5,Moineau domestique
10840,PHOOCH,5,Rougequeue noir
10840,PHYCOL,5,Pouillot véloce
10840,PICVIR,5,Pic vert
10840,PRUMOD,5,Accenteur mouchet
10840,SITEUR,5,Sittelle torchepot
10840,SYLATR,5,Fauvette à tête noire
10840,TROTRO,5,Troglodyte mignon
10840,TURMER,5,Merle noir
10840,TURPHI,5,Grive musicienne
10840,TURVIS,5,Grive draine
10873,ALAARV,7,Alouette des champs
10873,CERBRA,7,Grimpereau des jardins
10873,COLPAL,7,Pigeon ramier
10873,CORCOR,7,Corneille noire
10873,CUCCAN,7,Coucou gris
10873,DENMAJ,7,Pic épeiche
10873,EMBCIT,7,Bruant jaune
10873,ERIRUB,7,Rougegorge familier
10873,FALTIN,7,Faucon crécerelle
10873,FRICOE,7,Pinson des arbres
10873,GARGLA,7,Geai des chênes
10873,HIRRUS,7,Hirondelle rustique
10873,LUSMEG,7,Rossignol philomèle
10873,MILCAL,7,Bruant proyer
10873,PARCAE,7,Mésange bleue
10873,PARMAJ,7,Mésange charbonnière
10873,PASDOM,7,Moineau domestique
10873,PHOOCH,7,Rougequeue noir
10873,PHYCOL,7,Pouillot véloce
10873,PICVIR,7,Pic vert
10873,SITEUR,7,Sittelle torchepot
10873,STRDEC,7,Tourterelle turque
10873,STUVUL,7,Étourneau sansonnet
10873,SYLATR,7,Fauvette à tête noire
10873,TROTRO,7,Troglodyte mignon
10873,TURMER,7,Merle noir
10873,TURPHI,7,Grive musicienne
10878,ANTTRI,2,Pipit des arbres
10878,APUAPU,2,Martinet noir
10878,CERBRA,2,Grimpereau des jardins
10878,COLPAL,2,Pigeon ramier
10878,CORCOR,2,Corneille noire
10878,CUCCAN,2,Coucou gris
10878,DENMAJ,2,Pic épeiche
10878,DRYMAR,2,Pic noir
10878,EMBCIT,2,Bruant jaune
10878,ERIRUB,2,Rougegorge familier
10878,FALTIN,2,Faucon crécerelle
10878,FRICOE,2,Pinson des arbres
10878,GARGLA,2,Geai des chênes
10878,HIRRUS,2,Hirondelle rustique
10878,LULARB,2,Alouette lulu
10878,PARCAE,2,Mésange bleue
10878,PARCRI,2,Mésange huppée
10878,PARMAJ,2,Mésange charbonnière
10878,PASDOM,2,Moineau domestique
10878,PHOOCH,2,Rougequeue noir
10878,PHYCOL,2,Pouillot véloce
10878,PICVIR,2,Pic vert
10878,SITEUR,2,Sittelle torchepot
10878,STUVUL,2,Étourneau sansonnet
10878,SYLATR,2,Fauvette à tête noire
10878,TROTRO,2,Troglodyte mignon
10878,TURMER,2,Merle noir
10878,TURPHI,2,Grive musicienne
10884,ALAARV,7,Alouette des champs
10884,ANTTRI,7,Pipit des arbres
10884,CERBRA,7,Grimpereau des jardins
10884,COLPAL,7,Pigeon ramier
10884,CORCOR,7,Corneille noire
10884,CUCCAN,7,Coucou gris
10884,DENMAJ,7,Pic épeiche
10884,DRYMAR,7,Pic noir
10884,EMBCIT,7,Bruant jaune
10884,ERIRUB,7,Rougegorge familier
10884,FALTIN,7,Faucon crécerelle
10884,FRICOE,7,Pinson des arbres
10884,GARGLA,7,Geai des chênes
10884,HIRRUS,7,Hirondelle rustique
10884,LULARB,7,Alouette lulu
10884,LUSMEG,7,Rossignol philomèle
10884,PARCAE,7,Mésange bleue
10884,PARCRI,7,Mésange huppée
10884,PARMAJ,7,Mésange charbonnière
10884,PASDOM,7,Moineau domestique
10884,PHOOCH,7,Rougequeue noir
10884,PHYCOL,7,Pouillot véloce
10884,PICVIR,7,Pic vert
10884,PRUMOD,7,Accenteur mouchet
10884,SITEUR,7,Sittelle torchepot
10884,STRDEC,7,Tourterelle turque
10884,STUVUL,7,Étourneau sansonnet
10884,SYLATR,7,Fauvette à tête noire
10884,TROTRO,7,Troglodyte mignon
