id_cell,n_samples,Area_grid_tot_Urba,ValueSPred_Urba,Area_grid_tot_For,ValueSPred_For,Area_grid_tot_CC,ValueSPred_CC,Area_grid_tot_M,ValueSPred_M,Area_grid_tot_ZH,ValueSPred_ZH,mean_concentration_air_grid_max,mean_tii_grid_max,mean_tii_scale_grid_max,mean_concentration_water_grid_max,all_pesticide_exposure_grid_max,mean_concentration_air_grid_sum,mean_tii_grid_sum,mean_tii_scale_grid_sum,mean_concentration_water_grid_sum,all_pesticide_exposure_grid_sum,SurfBio_cell,nb_exp_cell,Long_route,nb_roads,Lum_max,Lum_median,Lum_mean,Lum_min
62163,714,0.9895802501936635,0.5441877896564737,0.0,2.7191694842265517,0.5333556895170388,-0.7921058813839827,-0.01556550915787922,3.433255937784329,,,0.7758590651289222,0.2789272586042469,0.2789272586040878,0.03578334859444789,-1.7438667777093506,0.5940574803468922,0.2789272586042154,0.2789272586042521,0.03578334859444074,0.3280139283608604,0.0,0.0,3.519196469100229,0.7342192753393685,1.0103214351737662,-1.4144459649740018,0.6732853988087072,-0.8049632774968382
119157,713,0.828426604792736,3.356077168883138,0.0,-6.72600794142138e-08,-6.284772533634501,-10.356259275187748,,,0.3699270993366449,3.9747814896851303,0.2860232789471044,-1.9047275860425168,-1.9047275860424726,0.26279964032699316,-0.9070356704270844,-0.45268803081166037,0.475023146395731,0.47502314639584503,0.26279964032700215,-0.2148844574531259,-0.13188074162816585,0.948890169306909,4.482416553370623,-1.5995448383404316,0.23596286169419914,2.634077187443136,1.5710712728259177,-7.872610923660594
117812,713,-2.1545685055210977,6.035914398639825,0.0,2.0978041518107856e-08,-0.02058335708482908,-2.6674942528146444,-0.4770674045187242,0.09350334391982425,-1.200763358438834e-06,2.9667339819281027e-06,-1.4531705065404268,1.2323636241583695,1.2323636241585703,-4.8965834416307,-1.0326641755513457,-1.734627880367834,2.168575745758049,2.16857574575815,-1.258578624220246,-0.13561892628428604,1.4168796352248416,-4.553414364003509,2.1442655277371037,-4.751237035206682,-3.085028089388073,-0.4025027933174674,0.5406168432723497,5.5686202614965765
155948,704,1.1650141210597065,-1.3561599943284042,0.0,0.0,0.5773941347671923,2.7465398475650873,-1.0541458394353467,1.327687797800304,,,0.2261274161850107,-1.009957778218509,-1.0099577782185278,-0.3283044239533057,-0.13558675407706106,2.32160349512424,-1.0099577782183964,-1.0099577782184184,-0.32830442395329124,0.6678110402444029,0.0,0.0,-0.7332159236679057,-1.306696469988006,1.532830013267876,2.154950549192356,2.1979699329675273,-0.985237348452111
104599,700,-2.2036181991572503,-0.4262068786779594,0.0,1.187985347025193e-09,-0.3627649404012984,0.30523595273178866,7.676448793626952e-09,0.543701456571142,,,0.2412072116578793,-0.13180188261761727,-0.1318018826175362,-0.73001410196287,-0.04247856975433879,0.10079720923697172,-0.13660339856508236,-0.13660339856507953,-0.7504846678362082,-0.07522672355022875,0.0,0.0,1.5274605092073876,1.0579947731048678,-3.2271733168227694,4.612370942884551,-0.22516402315006628,-0.857550694001834
104719,700,,,0.0,-8.968705929412776e-11,0.8605484097121847,-0.07923084653979723,-5.279946534604568e-07,6.032134971041516e-08,,,1.0711301107331013,1.0919661605473423,1.0919661605472482,2.084004850286388,2.030406852626052,-0.1843620824308221,-1.36746471041681,-1.3674647104168387,-1.5454833680839992,-1.305834782641065,0.0,0.0,2.3293000652330657e-08,0.0,-1.2083511470796986,-0.49676980687727457,0.16686758596602372,-0.0225889977713726
128335,700,,,0.0,-9.069566434456624e-09,0.0,1.2834525410489883,,,,,1.5271441046447929,1.0525416965504937,1.0525416965506018,0.7377957362677497,1.6212204961960615,-2.351394331741459,-1.2904785807771213,-1.2904785807771657,0.12142864723114835,-1.1181832127497175,0.0,0.0,-0.001001495020627655,-0.1753466782413978,-0.023960975751303373,-0.028074727903582012,-0.7822855644608884,1.244114150330158
148259,700,1.7694236752046835e-07,3.5102146752105426e-06,0.0,-2.9772946048772343e-09,6.259785486040277,2.0991960641737246,0.04500070973950225,-1.1872042899136839,,,-0.3877458165051433,-0.40978973788591994,-0.409789737885875,0.0,-0.5787326417105645,-0.8009286124012881,2.2226386392529625,2.2226386392530797,0.0,0.011836311991268337,0.0,0.0,-0.1779325538883492,0.16547610203205418,2.33124017159917,-0.48055844802497505,-3.4513379052339386,0.4472562635027774
98699,693,0.06308418656699295,-3.6512581745254513,0.0,-3.0261665717508187e-09,-0.06660648928726341,1.3810525362680262,-0.013282547552127481,1.9242765998768092,5.8217930268087335e-09,-3.118163128172495e-07,-0.4545429143933637,0.12951602965106887,0.12951602965105521,0.22621559798902824,-1.108221473301686,-1.0951561352971384,0.5383580319575667,0.5383580319576459,-0.6166947707259686,-0.2568707624087056,0.11050450805961211,0.3415310402735442,-1.0245974153160033,-0.179666469290788,-3.5145606097026243,-0.7809544243870244,-0.6272835758856286,1.3952305257563145
58762,693,-1.593669642018719,0.013856572410762675,0.0,2.0559146909368392e-11,-0.8431833782106414,-0.014158599881882858,0.15993507798156353,-0.0009167969742066719,,,-0.403759199186338,-0.5131954185133445,-0.5131954185131841,0.7424876876872052,0.4113868563602895,-0.5471205936170919,-0.5131954185133857,-0.5131954185133046,0.6354080974956514,-0.010714599871699194,0.0,0.0,0.32145002590309163,0.3485922067329305,0.2590582442410748,-1.306005551827717,-1.225233046956464,0.2070522527563177
